Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,SZ Score,Indexed
creativelandscapeborders.com,Low DR,clean,1,,0.0,3,1
nano4me.org,,clean,0,,34.0,4,1
clouddome.com,,clean,0,,25.0,4,0
strange-trips.com,,clean,0,,6.0,7,1
ktonline.com, work from home,snapshot < text : badword  in (this story batesville fallen heroes honored more on this story                         click to view work from home. make residual income with benefits. 12 year company. view job seeking exp. concrete),1,,16.0,–,0
godblessrareform.com,,processing error.,0,processing error.,,–,1
helpseeker.co,,clean,0,,21.0,10,0
studentcalculator.org,,clean,0,,39.0,11,0
epicpartnerships.org,,clean,0,,22.0,12,1
residential-homes.net,,processing error.,0,processing error.,,–,1
tuckerobserver.com,,clean,0,,25.0,15,1
nal-media.com,,clean,0,,26.0,18,0
betweenlifeandgames.com,sex | Low DR,snapshot < text : badword  in (he duke humour and we got it in hefty doses. a lot of hipster game sites bashed the game for being sexist and such… it’s remarkably stupid to comment that way about duke nukem the most obvious and o),1,,3.0,–,1
adminhacks.com,150 | 1528 | 50 | 213,\significant increase in content (adminhacks.com-2024-06-22  -> adminhacks.com-2025-01-17 )\\significant increase in outbound links (adminhacks.com-2024-06-22  -> adminhacks.com-2025-01-17 )\,0,,22.0,24,1
newsreek.com,93 | 1976,\significant increase in content (newsreek.com-2011-02-08  -> newsreek.com-2011-11-27 )\,0,,25.0,24,1
shortinfosec.net,,clean,0,,26.0,8,1
whatsintheweb.com,acne,snapshot < text : badword  in (tect health rishi - november 13 2020 0 dandruff isn’t the only common scalp affliction. from scalp acne to psoriasis there’s a wide array of skin irritations common to the... read more diy diary: wh),0,,23.0,–,0
socialbusinessdesign.org,28 | 2096,\significant increase in content (socialbusinessdesign.org-2014-12-18  -> socialbusinessdesign.org-2022-03-20 )\,0,,7.0,28,1
ibmk.org,detectedlanguage[hr:0.9999948055975616,snapshot < text : bad language ] in (institut za biologiju mora kotor dobro došli na internet prezentaciju instituta za biologiju mora u kotoru crna gora. na slici sa desne strane prikazana je zgrada našeg instituta koja se nalazi izme),0,,31.0,–,1
pointerx.net,,archive.org snapshots with status 403 during latest year,1,,17.0,–,1
fully-verified.com,,processing error.,0,processing error.,,–,1
redlandpress.com,Low DR,clean,1,,2.0,17,1
office-archive.com,,clean,0,,28.0,11,1
frameworkcycles.com,,domain incomplete please refresh,0,,22.0,–,1
fatefortune.org,,clean,0,,38.0,17,1
bogardusgarden.org,casino,snapshot < text : badword  in ( to choose a slot online gambling how to choose a slot online jun 7 2023 by admin online slot is a casino game that has become extremely popular thanks to its convenience and fun. you can play this g),1,,12.0,–,0
datagrabber.org,dolce & gabbana,snapshot < text : badword  in ( bike 2786 sports his/her skis (rossignol) 3158 3357 travel trip - las vegas 842 personal colognes (dolce & gabbana/burberry/jean paul gauthier) 2928 music drum set  mcs with cymbals 2598 appliances ),1,,11.0,–,1
bitcloudproject.org,,clean,0,,29.0,13,0
actonadream.org,,clean,0,,14.0,5,1
madconomist.com,holding the emblem,snapshot < text : badword  in (olourful flags and did not realise their meaning. but then some of them saw tv images of protesters holding the emblem and they alerted the authorities according to hong kong's ming pao newspaper. ti),0,,14.0,–,1
hvjournal.com,tiffany,snapshot < text : badword  in (eatured some of the top athletes in the state as well as an appearance from 2004 olympic competitor tiffany lott. (read article) announcements families against pornography conference free concerts in ),1,,18.0,–,1
typef.com,acne,snapshot < text : badword  in (es view more how to open the pores deep down how to keep pores from clogging how to get rid of dark acne spots tutorials view more how to make your eyelashes longer how to make makeup look natural day),0,,43.0,–,0
puresynergistics.com,641 | 2169,\significant increase in content (puresynergistics.com-2021-07-29  -> puresynergistics.com-2021-12-02 )\,0,,11.0,23,0
whiptailinteractive.com,online games,snapshot < text : badword  in (m® design your own m&m's® character! add funny features & accessories. www.becomeanmm.com play free online games meet people have fun hang out and play. explore our 3d virtual world. www.kaneva.com ),1,,8.0,–,1
futuregosummit.com,,insufficient archive.org history available,0,insufficient archive.org history available,12.0,–,1
youreshape.io,porn,anchors : badword  in (watch porn video),1,,32.0,–,0
thehalfwaypoint.net,sex,snapshot < text : badword  in (tart entrepreneurial ventures and human rights endeavors. one woman formerly named jeanne who was a sex slave tied to a tree for many weeks is now on staff at city of joy and a women’s rights activis),1,,16.0,–,1
justelsa.com,50 | 159,\significant increase in outbound links (justelsa.com-2021-12-10  -> justelsa.com-2022-12-26 )\,0,,6.0,16,1
intersectfund.org,,clean,0,,26.0,8,0
giverespect.org,casino,snapshot < text : badword  in (8 win gmw sports cmd sports wbet sport sbo sports saba sports united gaming bti sports beter esport casino pragmatic we playtech allbet beter microgaming evo sa ae ag 568win n2live opus wm dream gamin),1,,12.0,–,1
composers-now.org,roulette,snapshot < text : badword  in ( miller theatre at columbia university composer portraits: benet casablancas 8:30 pm • presented by roulette interpretations: thomas buckner premieres 9:00 pm & 10:30 pm • presented by the jazz galler),1,,10.0,–,1
planetcrap.com,porn,anchors : badword  in (planetcrap.com \everquest player banned over 'child porn' claim\ october 5 2000),1,,20.0,–,1
guru-office.com, buy now,snapshot < text : badword  in (sale! ds listed by domain seller get this domain pay the full usd $3488 now or select lease to own buy now usd $3488 lease to own usd $117 /month pick the price that matches your budget. usd $117 m),0,snapshot < text : badword [ buy now] in (sale! ds listed by domain seller get this domain pay the full usd $3488 now or select lease to own buy now usd $3488 lease to own usd $117 /month pick the price that matches your budget. usd $117 m),32.0,–,1
humanbusinessworks.com,,archive.org snapshots with status 403 during latest year,1,,45.0,–,0
bymystique.com,hydrocodone,snapshot < text : badword  in (io williams of being mentally unstable with suicidal thoughts over their breakup and a pill popper (hydrocodone) erin marzouki is determined to keep her 785000 engagement ring by hook or crook. she ),1,,7.0,–,1
earthpm.com,asics,snapshot < text : badword  in (n working on this here are the members of the sustainable apparel coalition: adidas arvind mills asics avery dennison bureau veritas c&a cohesive trim columbia sportswear clariant the coca-c),0,,25.0,–,1
thedayafter-sy.org,127 | 1454,\significant increase in content (thedayafter-sy.org-2013-11-23  -> thedayafter-sy.org-2014-11-03 )\,0,,14.0,14,1
madoverbrand.com,sex | …,snapshot < text : badword  in ( weight loss supplement brands and wbest continue reading … 18 best condoms for her | enjoy your sex moments in deep feelings condom brands come in different sizes colors styles and textures. ch),1,,10.0,–,1
imocan.com,545 | 3929 | 50 | 363,\significant increase in content (imocan.com-2018-08-29  -> imocan.com-2021-05-09 )\\significant increase in outbound links (imocan.com-2018-08-29  -> imocan.com-2021-05-09 )\,0,,30.0,26,1
